,ts_code,end_date,symbol,mkv,amount,stk_mkv_ratio
0,510300.SH,20190331,000651.SZ,615993058.56,13047936.0,1.88
1,510300.SH,20190331,000858.SZ,493610595.0,5195901.0,1.51
2,510300.SH,20190331,600036.SH,948598477.44,27965757.0,2.9
3,510300.SH,20190331,600276.SH,473299961.8,7234790.0,1.45
4,510300.SH,20190331,600519.SH,1186719875.82,1389618.0,3.62
5,510300.SH,20190331,600887.SH,476992937.69,16385879.0,1.46
6,510300.SH,20190331,600030.SH,528198709.5,21315525.0,1.61
7,510300.SH,20190331,601166.SH,615014653.19,33847807.0,1.88
8,510300.SH,20190331,601318.SH,2268562952.4,29423644.0,6.93
9,510300.SH,20190331,000333.SZ,614982443.46,12620202.0,1.88
10,510300.SH,20181231,601318.SH,2160706871.4,38515274.0,6.5
11,510300.SH,20181231,600519.SH,1050627856.95,1780695.0,3.16
12,510300.SH,20181231,600036.SH,922763419.2,36617596.0,2.78
13,510300.SH,20181231,601166.SH,660934335.24,44239246.0,1.99
14,510300.SH,20181231,000651.SZ,610476058.09,17104961.0,1.84
15,510300.SH,20181231,000333.SZ,604332379.84,16395344.0,1.82
16,510300.SH,20181231,601328.SH,564177958.98,97440062.0,1.7
17,510300.SH,20181231,600016.SH,512432140.89,89429693.0,1.54
18,510300.SH,20181231,600887.SH,493396057.44,21564513.0,1.48
19,510300.SH,20181231,601288.SH,489252524.4,135903479.0,1.47
20,510300.SH,20181231,600030.SH,443168167.1,27680710.0,1.33
21,510300.SH,20181231,601668.SH,424522690.5,74477665.0,1.28
22,510300.SH,20181231,600276.SH,421501881.75,7990557.0,1.27
23,510300.SH,20181231,000002.SZ,411178410.36,17261898.0,1.24
24,510300.SH,20181231,600000.SH,408771092.8,41711336.0,1.23
25,510300.SH,20181231,601398.SH,404736439.96,76509724.0,1.22
26,510300.SH,20181231,600900.SH,371724391.56,23408337.0,1.12
27,510300.SH,20181231,000858.SZ,356618937.6,7009020.0,1.07
28,510300.SH,20181231,002415.SZ,338135806.4,13126390.0,1.02
29,510300.SH,20181231,600104.SH,331477802.88,12428864.0,1.0
30,510300.SH,20181231,601601.SH,316168523.21,11120947.0,0.95
31,510300.SH,20181231,601766.SH,304908183.36,33803568.0,0.92
32,510300.SH,20181231,600048.SH,298519015.41,25319679.0,0.9
33,510300.SH,20181231,601169.SH,295018893.18,52588038.0,0.89
34,510300.SH,20181231,000001.SZ,286104191.94,30501513.0,0.86
35,510300.SH,20181231,601988.SH,270093268.8,74818080.0,0.81
36,510300.SH,20181231,600837.SH,252816643.2,28729164.0,0.76
37,510300.SH,20181231,601211.SH,237943974.12,15531591.0,0.72
38,510300.SH,20181231,000725.SZ,221368678.0,84170600.0,0.67
39,510300.SH,20181231,601229.SH,217050863.4,19396860.0,0.65
40,510300.SH,20181231,600028.SH,215237716.5,42621330.0,0.65
41,510300.SH,20181231,601888.SH,211854997.2,3519186.0,0.64
42,510300.SH,20181231,601818.SH,209080184.6,56508158.0,0.63
43,510300.SH,20181231,002304.SZ,208799063.04,2204382.0,0.63
44,510300.SH,20181231,600585.SH,208008838.56,7104127.0,0.63
45,510300.SH,20181231,600019.SH,205485585.5,31613167.0,0.62
46,510300.SH,20181231,601857.SH,196662245.57,27276317.0,0.59
47,510300.SH,20181231,603288.SH,192847019.2,2803009.0,0.58
48,510300.SH,20181231,601688.SH,190598151.6,11765318.0,0.57
49,510300.SH,20181231,600690.SH,179981165.5,12995030.0,0.54
50,510300.SH,20181231,601186.SH,179285790.71,16493633.0,0.54
51,510300.SH,20181231,600009.SH,176771141.64,3482489.0,0.53
52,510300.SH,20181231,601006.SH,173778886.08,21115296.0,0.52
53,510300.SH,20181231,600050.SH,170861515.33,33048649.0,0.51
54,510300.SH,20181231,601390.SH,170290876.29,24362071.0,0.51
55,510300.SH,20181231,600015.SH,168396151.7,22787030.0,0.51
56,510300.SH,20181231,002594.SZ,168084168.0,3295768.0,0.51
57,510300.SH,20181231,000063.SZ,165654156.63,8456057.0,0.5
58,510300.SH,20181231,600309.SH,165161936.52,5900748.0,0.5
59,510300.SH,20181231,300059.SZ,157021712.1,12977001.0,0.47
60,510300.SH,20181231,600031.SH,154022202.6,18467890.0,0.46
61,510300.SH,20181231,601939.SH,152402262.74,23925002.0,0.46
62,510300.SH,20181231,002142.SZ,152053595.22,9374451.0,0.46
63,510300.SH,20181231,600340.SH,148169747.3,5821994.0,0.45
64,510300.SH,20181231,600919.SH,147017882.67,24626111.0,0.44
65,510300.SH,20181231,001979.SZ,146207235.5,8426930.0,0.44
66,510300.SH,20181231,601989.SH,138114625.75,32497559.0,0.42
67,510300.SH,20181231,002027.SZ,137617197.76,26262824.0,0.41
68,510300.SH,20181231,601899.SH,137527148.62,41175793.0,0.41
69,510300.SH,20181231,601009.SH,136239222.98,21089663.0,0.41
70,510300.SH,20181231,000776.SZ,134606378.6,10615645.0,0.4
71,510300.SH,20181231,000538.SZ,134540414.12,1819097.0,0.4
72,510300.SH,20181231,000338.SZ,132502000.4,17208052.0,0.4
73,510300.SH,20181231,002024.SZ,130411862.55,13239783.0,0.39
74,510300.SH,20181231,600999.SH,129350200.0,9653000.0,0.39
75,510300.SH,20181231,601088.SH,127191893.84,7081954.0,0.38
76,510300.SH,20181231,002230.SZ,125343901.76,5087009.0,0.38
77,510300.SH,20181231,601336.SH,124916943.36,2957314.0,0.38
78,510300.SH,20181231,002475.SZ,123213263.4,8763390.0,0.37
79,510300.SH,20181231,601012.SH,122809218.72,7041813.0,0.37
80,510300.SH,20181231,601628.SH,120945201.66,5931594.0,0.36
81,510300.SH,20181231,600406.SH,120490546.74,6502458.0,0.36
82,510300.SH,20181231,600886.SH,116497120.6,14471692.0,0.35
