,index_code,con_code,trade_date,industry,weight
22199,399300.SZ,000629.SZ,20160104,小金属,0.16
21995,399300.SZ,002065.SZ,20160104,软件服务,0.21
21996,399300.SZ,600998.SH,20160104,医药商业,0.06
21997,399300.SZ,300027.SZ,20160104,影视音像,0.41
21998,399300.SZ,600157.SH,20160104,煤炭开采,0.16
21999,399300.SZ,002081.SZ,20160104,装修装饰,0.16
22000,399300.SZ,600600.SH,20160104,啤酒,0.09
21994,399300.SZ,601872.SH,20160104,水运,0.15
22001,399300.SZ,600023.SH,20160104,火力发电,0.21
22003,399300.SZ,600398.SH,20160104,服饰,0.19
22004,399300.SZ,300003.SZ,20160104,医疗保健,0.2
22005,399300.SZ,600999.SH,20160104,证券,0.62
22006,399300.SZ,000423.SZ,20160104,中成药,0.28
22007,399300.SZ,601601.SH,20160104,保险,0.94
22008,399300.SZ,000895.SZ,20160104,食品,0.21
22002,399300.SZ,300133.SZ,20160104,影视音像,0.13
21993,399300.SZ,000540.SZ,20160104,多元金融,0.15
21992,399300.SZ,600188.SH,20160104,煤炭开采,0.04
21991,399300.SZ,601377.SH,20160104,证券,0.5
21976,399300.SZ,000800.SZ,20160104,汽车整车,0.13
21977,399300.SZ,600642.SH,20160104,火力发电,0.18
21978,399300.SZ,002129.SZ,20160104,半导体,0.16
21979,399300.SZ,600518.SH,20160104,中成药,0.52
21980,399300.SZ,600196.SH,20160104,化学制药,0.27
21981,399300.SZ,600066.SH,20160104,汽车整车,0.31
21982,399300.SZ,601098.SH,20160104,出版业,0.17
21983,399300.SZ,600031.SH,20160104,工程机械,0.25
21984,399300.SZ,000729.SZ,20160104,啤酒,0.12
21985,399300.SZ,002008.SZ,20160104,电器仪表,0.22
21986,399300.SZ,000001.SZ,20160104,银行,0.71
21987,399300.SZ,600036.SH,20160104,银行,1.95
21988,399300.SZ,000898.SZ,20160104,普钢,0.09
21989,399300.SZ,002470.SZ,20160104,农药化肥,0.13
21990,399300.SZ,000792.SZ,20160104,化工原料,0.19
22009,399300.SZ,600549.SH,20160104,小金属,0.08
22010,399300.SZ,002146.SZ,20160104,全国地产,0.12
22011,399300.SZ,601118.SH,20160104,橡胶,0.09
22012,399300.SZ,601186.SH,20160104,建筑施工,0.47
22032,399300.SZ,601788.SH,20160104,证券,0.27
